City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
253,badger,64.8,-147.5333,56.98,64,40,9.22,US,Wed Sep 11 21:54:04 2024
254,korhogo,9.45,-5.6333,70.92,98,100,5.75,CI,Wed Sep 11 21:54:04 2024
255,san borja,-14.8167,-66.85,80.24,36,9,1.81,BO,Wed Sep 11 21:49:05 2024
256,vredendal,-31.6683,18.5012,51.93,80,53,5.19,ZA,Wed Sep 11 21:54:04 2024
257,raja,8.4596,25.678,70.5,95,66,2.26,SS,Wed Sep 11 21:54:04 2024
258,hasaki,35.7333,140.8333,83.16,79,19,12.75,JP,Wed Sep 11 21:54:04 2024
259,nuku'alofa,-21.1333,-175.2,71.94,94,100,13.8,TO,Wed Sep 11 21:53:38 2024
260,chebba,35.2372,11.115,76.53,64,0,2.19,TN,Wed Sep 11 21:54:04 2024
261,okhotsk,59.3833,143.3,53.4,73,100,18.9,RU,Wed Sep 11 21:54:04 2024
262,prado,-17.3411,-39.2208,72.81,86,51,9.91,BR,Wed Sep 11 21:50:07 2024
263,shahrud,36.4182,54.9763,70.18,29,0,2.93,IR,Wed Sep 11 21:54:05 2024
264,kanggye,40.9695,126.5852,79.77,65,15,2.86,KP,Wed Sep 11 21:54:05 2024
265,lebu,-37.6167,-73.65,45.86,79,48,16.84,CL,Wed Sep 11 21:54:05 2024
266,vilyuchinsk,52.9306,158.4028,61.07,60,41,24.61,RU,Wed Sep 11 21:54:05 2024
267,sampit,-2.5333,112.95,85.91,55,11,6.42,ID,Wed Sep 11 21:54:05 2024
268,kone,-21.0595,164.8658,83.55,42,23,5.26,NC,Wed Sep 11 21:54:05 2024
269,constantia,44.1833,28.65,61.7,89,24,10.92,RO,Wed Sep 11 21:54:05 2024
270,praia da vitoria,38.7333,-27.0667,70.75,88,40,9.24,PT,Wed Sep 11 21:54:06 2024
